Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity
31-50,Male,Junior high school,Owner,5-10yr,Two-way (divided with solid lines road marking),No junction,Asphalt roads,Darkness - lights lit,Stormy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Brake failure,2
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Pedestrian jaywalking,2
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Sudden lane change,2
18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Dusk,Rainy,Vehicle with vehicle collision,Other,Not a Pedestrian,Running red light,2
31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,O Shape,Asphalt roads,Darkness - lights lit,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Poor road conditions,2
18-30,Male,Junior high school,Owner,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - no lights,Rainy,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Running red light,0
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Clear,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Pedestrian jaywalking,1
18-30,Male,High school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Stormy,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Running red light,1
18-30,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Clear,Collision with pedestrians,Going straight,Not a Pedestrian,Sudden lane change,2
Under 18,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dawn,Clear,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Sudden lane change,0
Over 51,Male,Elementary school,Owner,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - no lights,Windy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Brake failure,1
31-50,Male,Junior high school,Employee,5-10yr,other,No junction,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Other,Unknown or other,Speeding,2
31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dusk,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Drunk driving,2
31-50,Male,Junior high school,Employee,5-10yr,One way,Y Shape,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Pedestrian jaywalking,2
18-30,Male,Junior high school,Employee,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Poor road conditions,2
18-30,Female,Elementary school,Employee,2-5yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Clear,Collision with roadside objects,Going straight,Crossing from driver's nearside,Brake failure,1
18-30,Male,Junior high school,Employee,2-5yr,Double carriageway (median),Crossing,Asphalt roads,Darkness - lights lit,Windy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Sudden lane change,2
18-30,Female,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Rainy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Drunk driving,2
18-30,Male,Junior high school,Employee,1-2yr,other,T Shape,Asphalt roads,Darkness - lights lit,Rainy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Running red light,2
31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Drunk driving,2
18-30,Male,High school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Darkness - no lights,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Distraction,1
18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Earth roads,Daylight,Foggy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Sudden lane change,2
18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Distraction,1
18-30,Male,Elementary school,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Clear,Collision with roadside objects,Moving Backward,Unknown or other,Poor road conditions,0
31-50,Male,High school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dawn,Clear,Vehicle with vehicle collision,Going straight,Unknown or other,Running red light,0
Over 51,Male,Elementary school,Employee,5-10yr,Undivided Two way,Other,Asphalt roads,Daylight,Clear,Collision with roadside objects,Going straight,Not a Pedestrian,Drunk driving,2
18-30,Male,Junior high school,Owner,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Rainy,Collision with roadside objects,Moving Backward,Not a Pedestrian,Brake failure,2
18-30,Male,Junior high school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Foggy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Speeding,1
31-50,Male,High school,Owner,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Pedestrian jaywalking,2
18-30,Male,Elementary school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Foggy,Vehicle with vehicle collision,Other,Unknown or other,Poor road conditions,2
Over 51,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - no lights,Rainy,Collision with pedestrians,Going straight,Not a Pedestrian,Poor road conditions,0
Over 51,Male,Junior high school,Employee,Below 1yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Poor road conditions,1
18-30,Male,Elementary school,Employee,1-2yr,One way,Crossing,Asphalt roads,Darkness - no lights,Rainy,Vehicle with vehicle collision,Waiting to go,Not a Pedestrian,Sudden lane change,2
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),O Shape,Asphalt roads,Daylight,Windy,Collision with roadside objects,Getting off,Not a Pedestrian,Running red light,2
Over 51,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Sudden lane change,2
18-30,Female,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - no lights,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Poor road conditions,2
Under 18,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Foggy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Brake failure,2
18-30,Male,Writing & reading,Owner,2-5yr,One way,Y Shape,Gravel roads,Darkness - lights lit,Foggy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,2
Under 18,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Clear,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Drunk driving,1
31-50,Male,Junior high school,Owner,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Foggy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Poor road conditions,2
18-30,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Distraction,2
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Drunk driving,2
31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Other,Not a Pedestrian,Poor road conditions,2
31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Crossing,Asphalt roads,Dusk,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Sudden lane change,2
18-30,Male,Junior high school,Employee,1-2yr,other,Crossing,Asphalt roads,Darkness - lights lit,Rainy,Vehicle with vehicle collision,Other,Not a Pedestrian,Sudden lane change,2
18-30,Male,Junior high school,Employee,1-2yr,other,No junction,Asphalt roads,Daylight,Rainy,Vehicle with vehicle collision,Overtaking,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Pedestrian jaywalking,0
31-50,Male,Elementary school,Employee,5-10yr,other,Y Shape,Asphalt roads,Daylight,Rainy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Sudden lane change,1
31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dusk,Rainy,Collision with roadside objects,Going straight,Not a Pedestrian,Running red light,2
18-30,Male,Junior high school,Owner,2-5yr,other,No junction,Asphalt roads,Dusk,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Speeding,1
18-30,Male,Junior high school,Employee,1-2yr,One way,No junction,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Other,Crossing from driver's nearside,Sudden lane change,2
Over 51,Male,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Earth roads,Daylight,Clear,Collision with roadside objects,Going straight,Not a Pedestrian,Sudden lane change,2
18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Pedestrian jaywalking,2
18-30,Male,Junior high school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Darkness - no lights,Rainy,Vehicle with vehicle collision,Other,Not a Pedestrian,Poor road conditions,0
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Windy,Collision with roadside objects,Moving Backward,Not a Pedestrian,Drunk driving,2
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,2
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Speeding,2
18-30,Male,Junior high school,Employee,1-2yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Running red light,2
31-50,Male,Junior high school,Employee,Above 10yr,One way,Crossing,Asphalt roads,Dusk,Rainy,Vehicle with vehicle collision,Getting off,Not a Pedestrian,Sudden lane change,2
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Clear,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Pedestrian jaywalking,2
Over 51,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Rainy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,2
18-30,Male,Junior high school,Employee,2-5yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Rainy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Pedestrian jaywalking,2
31-50,Male,Junior high school,Owner,Above 10yr,other,Y Shape,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Poor road conditions,2
18-30,Male,Junior high school,Employee,1-2yr,other,No junction,Asphalt roads,Dawn,Foggy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Distraction,0
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Distraction,2
Over 51,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - no lights,Foggy,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Speeding,1
31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dawn,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Sudden lane change,2
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Distraction,2
18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,Crossing,Gravel roads,Daylight,Foggy,Rollover,Going straight,Not a Pedestrian,Speeding,1
18-30,Male,Junior high school,Employee,2-5yr,other,No junction,Asphalt roads,Daylight,Clear,Collision with roadside objects,Reversing,Not a Pedestrian,Overtaking,1
18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - no lights,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Poor road conditions,0
18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Sudden lane change,2
18-30,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Running red light,1
31-50,Male,Junior high school,Owner,Above 10yr,One way,Y Shape,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Pedestrian jaywalking,0
31-50,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dawn,Foggy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Sudden lane change,2
18-30,Male,Junior high school,Owner,1-2yr,other,Y Shape,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Getting off,Not a Pedestrian,Speeding,2
Over 51,Male,Elementary school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Earth roads,Daylight,Clear,Collision with roadside objects,Other,Not a Pedestrian,Pedestrian jaywalking,1
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Dawn,Windy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Distraction,2
Under 18,Male,Junior high school,Owner,1-2yr,other,Y Shape,Asphalt roads,Daylight,Rainy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Running red light,0
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dusk,Clear,Collision with roadside objects,Going straight,Not a Pedestrian,Pedestrian jaywalking,2
Under 18,Male,Above high school,Employee,No Licence,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dawn,Rainy,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Drunk driving,1
31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Pedestrian jaywalking,2
